Comment,Description,Designator,Footprint,LibRef,Quantity,Part Number
"2k49","SMD Resistor 2k49 0402","R1200, R1201, R1202, R1203, R1212, R1213, R1214, R1215, R1224, R1225, R1226, R4205_1, R4205_2, R4205_3, R4205_4, R4205_5, R4205_6, R4205_7, R4205_8, R6300, R6301, R6403, R6404, R6500, R6501, R7103, R7236, R7237, R8011, R8012, R8022","RESC1005X04N","gen_R_2k49_0402","31","gen_R_2k49_0402"
"120R","SMD Resistor 120R 0402","R1204, R1205, R1206, R1207","RESC1005X04N","gen_R_120R_0402","4","gen_R_120R_0402"
"75R","SMD Resistor 75R 0402","R1216, R1217, R1218, R1219, R1220","RESC1005X04N","gen_R_75R_0402","5","gen_R_75R_0402"
"11k","SMD Resistor 11k 0402","R1221","RESC1005X04N","gen_R_11k_0402","1","gen_R_11k_0402"
"5k1","SMD Resistor 5k1 0402","R1222, R3000, R3004, R3009, R7207, R7229, R7231, R7232, R7235, R7240, R7241, R7242, R7243","RESC1005X04N","gen_R_5k1_0402","13","gen_R_5k1_0402"
"2k2","SMD Resistor 2k2 0402","R1227","RESC1005X04N","gen_R_2k2_0402","1","gen_R_2k2_0402"
"2R","SMD Resistor 2R 0805","R1600, R8016","RESC2012X05N","gen_R_2R_0805","2","gen_R_2R_0805"
"390R","SMD Resistor 390R 0402","R1609, R1610, R1612, R1613","RESC1005X04N","gen_R_390R_0402","4","gen_R_390R_0402"
"220R","SMD Resistor 220R 0402","R1611, R6608, R7002, R7007, R7234, R7244, R7250","RESC1005X04N","gen_R_220R_0402","7","gen_R_220R_0402"
"22R","SMD Resistor Array 0402 8x","R3150","PANASONIC_EXB2HV","EXB2HV220JV","1","EXB2HV220JV"
"86R6","SMD Resistor 86R6 2010","R4202_1, R4202_2, R4202_3, R4202_4, R4202_5, R4202_6, R4202_7, R4202_8","RESC5025X07N","gen_R_86R6_2010","8","gen_R_86R6_2010"
"5k6","SMD Resistor 5k6 0402","R4203_1, R4203_2, R4203_3, R4203_4, R4203_5, R4203_6, R4203_7, R4203_8, R4206_1, R4206_2, R4206_3, R4206_4, R4206_5, R4206_6, R4206_7, R4206_8, R7000, R7004, R8002, R8010","RESC1005X04N","gen_R_5k6_0402","20","gen_R_5k6_0402"
"33R","SMD Resistor 33R 2010","R4204_1, R4204_2, R4204_3, R4204_4, R4204_5, R4204_6, R4204_7, R4204_8","RESC5025X07N","gen_R_33R_2010","8","gen_R_33R_2010"
"1k5","SMD Resistor 1k5 0402","R4404, R4406, R4409","RESC1005X04N","gen_R_1k5_0402","3","gen_R_1k5_0402"
"680R","SMD Resistor 680R 0402","R4405, R4407, R4411","RESC1005X04N","gen_R_680R_0402","3","gen_R_680R_0402"
"47k","SMD Resistor 47k 0402","R4501_1, R4501_2, R4502_1, R4502_2, R4503_1, R4503_2, R4508_1, R4508_2","RESC1005X04N","gen_R_47k_0402","8","gen_R_47k_0402"
"47k5","SMD Resistor 47k5 0402","R4513_1, R4513_2","RESC1005X04N","gen_R_47k5_0402","2","gen_R_47k5_0402"
"33R","SMD Resistor 33R 0402","R5000, R7306_1, R7306_2","RESC1005X04N","gen_R_33R_0402","3","gen_R_33R_0402"
"100k","SMD Resistor 100k 0402","R6200, R6201, R6202, R6203, R6204, R6205, R6206, R6207, R6408, R6409, R6410, R6411, R7238, R7251, R7307_1, R7307_2","RESC1005X04N","gen_R_100k_0402","16","gen_R_100k_0402"
"10k","SMD Resistor 10k 0603","R6402, R6412, R6413","RESC1608X05N","gen_R_10k_0603","3","gen_R_10k_0603"
